,idx,code,reaction
0,49,35,[Cl:1][C:2]1([H:9])[C:3]([Cl:8])([H:10])[O:4][C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]>>[Cl-:8].[Cl:1][C:2]1([H:9])[C:3]([H:10])=[O+:4][C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[C:7]1([H:15])[H:16]
0,50,36,[S-:19][c:20]1[c:21]([H:28])[c:22]([H:29])[c:23]([H:30])[c:24]([H:31])[c:25]1[H:32].[c:1]1([H:33])[c:2]([H:34])[c:3]([H:35])[c:4]([C:5]([S+:6]([c:7]2[c:8]([H:38])[c:9]([H:39])[c:10]([H:40])[c:11]([H:41])[c:12]2[H:42])[c:18]2[c:17]([H:43])[c:16]([H:44])[c:15]([H:45])[c:27]([H:46])[c:26]2[H:47])([H:36])[H:37])[c:13]([H:48])[c:14]1[H:49]>>[c:15]1([H:45])[c:16]([H:44])[c:17]([H:43])[c:18]([S:6][c:7]2[c:21]([H:28])[c:22]([H:29])[c:23]([H:30])[c:24]([H:31])[c:25]2[H:32])[c:26]([H:47])[c:27]1[H:46].[c:1]1([H:33])[c:2]([H:34])[c:3]([H:35])[c:4]([C:5]([S:19][c:20]2[c:8]([H:38])[c:9]([H:39])[c:10]([H:40])[c:11]([H:41])[c:12]2[H:42])([H:36])[H:37])[c:13]([H:48])[c:14]1[H:49]
0,51,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([H:8])[H:9])([H:13])([H:14])[H:15].[Cl-:7]
1,52,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][H:9])([H:13])([H:14])[H:15].[C:3](=[C:4](/[C:5]([H:10])([H:11])[H:12])[O-:6])(\[Cl:7])[H:8]
2,53,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][C:4]([C:3]([Cl:7])([H:8])[H:9])([C:5]([H:10])([H:11])[H:12])[O-:6])([H:13])([H:14])[H:15]
3,54,37,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4]([C:5]([H:10])([H:11])[H:12])=[O:6])([Cl:7])([H:8])[H:9]>>[C:1]([O:2][H:12])([H:13])([H:14])[H:15].[C:3]([C:4](=[C:5]([H:10])[H:11])[O-:6])([Cl:7])([H:8])[H:9]
0,55,38,[C:2]([c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([Cl:9])([H:10])[H:11].[O-:1][H:17]>>[Cl-:9].[O:1]([C:2]([c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([H:10])[H:11])[H:17]
0,56,39,[C:1]([O:2][C:4](=[O:3])[c:12]1[c:7]([C:6]([O-:5])([H:16])[H:17])[c:8]([H:18])[c:9]([H:19])[c:10]([H:20])[c:11]1[H:21])([H:13])([H:14])[H:15]>>[C:1]([O-:2])([H:13])([H:14])[H:15].[O:3]=[C:4]1[O:5][C:6]([H:16])([H:17])[c:7]2[c:8]([H:18])[c:9]([H:19])[c:10]([H:20])[c:11]([H:21])[c:12]21
0,57,40,[N+:1](#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13].[O:3]([H:11])[H:12]>>[N:1](=[C:2]([O+:3]([H:11])[H:12])[C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13]
1,58,40,[N+:1](#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13].[O:3]([H:11])[H:12]>>[N:1]#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15].[O+:3]([H:11])([H:12])[H:13]
0,59,41,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[Br:5])([H:6])([H:7])[H:8]>>[Br-:5].[C:1]([C+:2]([C:3]([H:9])([H:10])[H:11])[C:4]([H:12])([H:13])[H:14])([H:6])([H:7])[H:8]
0,60,42,[C:1]([C+:2]([C:3]([H:22])([H:23])[H:24])[C:4]([H:25])([H:26])[H:27])([H:19])([H:20])[H:21].[C:5]([C:6]([C:7]([H:13])([H:14])[H:15])([C:8]([H:16])([H:17])[H:18])[O-:9])([H:10])([H:11])[H:12]>>[C:1](=[C:2]([C:3]([H:22])([H:23])[H:24])[C:4]([H:25])([H:26])[H:27])([H:20])[H:21].[C:5]([C:6]([C:7]([H:13])([H:14])[H:15])([C:8]([H:16])([H:17])[H:18])[O:9][H:19])([H:10])([H:11])[H:12]
0,61,43,[C:1]([C:2]([C:3]([N:4]([C:5]([H:16])([H:17])[H:18])[C:7]([H:19])([H:20])[H:21])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11].[C:6]([I:8])([H:22])([H:23])[H:24]>>[C:1]([C:2]([C:3]([N+:4]([C:5]([H:16])([H:17])[H:18])([C:6]([H:22])([H:23])[H:24])[C:7]([H:19])([H:20])[H:21])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11].[I-:8]
0,62,44,[C:1]([C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:1](=[C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)[H:15])([H:13])[H:14].[C:8]([N:9]([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:22])([H:23])[H:24].[O:12]([H:16])[H:31]
1,63,44,[C:1]([C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:1]([C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)([H:15])[H:16])([O:12][H:31])([H:13])[H:14].[C:8]([N:9]([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:22])([H:23])[H:24]
2,64,44,[C:1]([C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:11]([O:12][H:31])([H:28])([H:29])[H:30].[C:1]([C:2]([C:3]1([H:17])[O:4][C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7]1)([H:15])[H:16])([N:9]([C:8]([H:22])([H:23])[H:24])[C:10]([H:25])([H:26])[H:27])([H:13])[H:14]
0,65,45,[Br:6][H:7].[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])=[C:5]([H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10]>>[Br-:6].[C:1]([C:2]([C+:3]([C:4]([H:13])([H:14])[H:15])[C:5]([H:7])([H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10]
0,66,46,[Br:10][H:11].[C:1](/[C:2](=[C:3](/[c:4]1[c:5]([H:17])[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]1[H:21])[H:16])[H:15])([H:12])([H:13])[H:14]>>[Br-:10].[C:1]([C:2]([C+:3]([c:4]1[c:5]([H:17])[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]1[H:21])[H:16])([H:11])[H:15])([H:12])([H:13])[H:14]
0,67,47,[Br:4][Br:7].[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])=[C:5]([H:13])[C:6]1([H:14])[H:15]>>[Br-:7].[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C@:3]2([H:12])[Br+:4][C@:5]2([H:13])[C:6]1([H:14])[H:15]
0,68,48,[Br-:1].[C@@:2]12([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C@:6]1([H:15])[Br+:7]2>>[Br:1][C@@:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C@@:6]1([Br:7])[H:15]
0,69,49,[C:1]([C:2](/[C:3](=[C:5](\[C:6]([H:23])([H:24])[H:25])[H:22])[H:21])([H:19])[H:20])([H:16])([H:17])[H:18].[O:4]([O:9][C:8](=[O:7])[c:10]1[c:11]([H:27])[c:12]([H:28])[c:13]([H:29])[c:14]([H:30])[c:15]1[H:31])[H:26]>>[C:1]([C:2]([C@:3]1([H:21])[O:4][C@@:5]1([C:6]([H:23])([H:24])[H:25])[H:22])([H:19])[H:20])([H:16])([H:17])[H:18].[O:7]=[C:8]([O:9][H:26])[c:10]1[c:11]([H:27])[c:12]([H:28])[c:13]([H:29])[c:14]([H:30])[c:15]1[H:31]
0,70,50,[B:1]([H:9])([H:10])[H:11].[C:2](=[C:3]1[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[C:8]1([H:22])[H:23])([H:12])[H:13]>>[B:1]([C:2]([C:3]1([H:11])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[C:8]1([H:22])[H:23])([H:12])[H:13])([H:9])[H:10]
0,71,51,[C:1]([C:2]([Br:6])([H:10])[H:11])([H:7])([H:8])[H:9].[O-:3][C:4]([C:5]([H:14])([H:15])[H:16])([H:12])[H:13]>>[Br-:6].[C:1]([C:2]([O:3][C:4]([C:5]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]
0,72,52,[C:1]([C:2]([O-:3])([H:18])[H:19])([H:15])([H:16])[H:17].[C:4]([C:5]([H:9])([H:10])[H:11])([C:6]([H:12])([H:13])[H:14])([Br:7])[H:8]>>[Br-:7].[C:1]([C:2]([O:3][C:4]([C:5]([H:9])([H:10])[H:11])([C:6]([H:12])([H:13])[H:14])[H:8])([H:18])[H:19])([H:15])([H:16])[H:17]
1,73,52,[C:1]([C:2]([O-:3])([H:18])[H:19])([H:15])([H:16])[H:17].[C:4]([C:5]([H:9])([H:10])[H:11])([C:6]([H:12])([H:13])[H:14])([Br:7])[H:8]>>[Br-:7].[C:1]([C:2]([O:3][H:11])([H:18])[H:19])([H:15])([H:16])[H:17].[C:4](=[C:5]([H:9])[H:10])([C:6]([H:12])([H:13])[H:14])[H:8]
0,74,53,[C:1]([C:2]([C:3]([Br:7])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5]([O-:6])([H:18])[H:19])([H:15])([H:16])[H:17]>>[Br-:7].[C:3](=[C:2]([C:1]([H:10])([H:9])[H:8])[H:11])([H:13])[H:14].[C:4]([C:5]([O:6][H:12])([H:19])[H:18])([H:16])([H:17])[H:15]
1,75,53,[C:1]([C:2]([C:3]([Br:7])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5]([O-:6])([H:18])[H:19])([H:15])([H:16])[H:17]>>[Br-:7].[C:1]([C:2]([C:3]([O:6][C:5]([C:4]([H:15])([H:16])[H:17])([H:18])[H:19])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]
0,76,54,[C:15]([C:16]([O-:17])([H:22])[H:23])([H:19])([H:20])[H:21].[C:1](=[C:2](/[c:3]1[c:4]([H:25])[c:5]([H:26])[c:6]([H:27])[c:7]([H:28])[c:8]1[H:29])[H:24])(\[c:9]1[c:10]([H:30])[c:11]([H:31])[c:12]([H:32])[c:13]([H:33])[c:14]1[H:34])[Cl:18]>>[C:15]([C:16]([O:17][H:24])([H:22])[H:23])([H:19])([H:20])[H:21].[C:1](#[C:2][c:3]1[c:4]([H:25])[c:5]([H:26])[c:6]([H:27])[c:7]([H:28])[c:8]1[H:29])[c:9]1[c:10]([H:30])[c:11]([H:31])[c:12]([H:32])[c:13]([H:33])[c:14]1[H:34].[Cl-:18]
0,77,55,[C-:4]#[C:5][c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20].[O:1]1[C:2]([H:12])([H:13])[C:3]1([H:14])[H:15]>>[O-:1][C:2]([C:3]([C:4]#[C:5][c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20])([H:14])[H:15])([H:12])[H:13]
0,78,56,[C:1]([C:2]1([H:11])[O+:3]([H:12])[C:6]([H:13])([H:14])[C:5]([H:15])([H:16])[C:4]1([H:17])[H:18])([H:8])([H:9])[H:10].[Cl-:7]>>[C:1]([C:2]([O:3][H:12])([C:4]([C:5]([C:6]([Cl:7])([H:13])[H:14])([H:15])[H:16])([H:17])[H:18])[H:11])([H:8])([H:9])[H:10]
0,79,57,[C:1]([N-:2][C:3]([H:25])([H:26])[H:27])([H:22])([H:23])[H:24].[C:4]1([H:12])([H:13])[C:5]2([O:6]1)[C:7]([H:14])([H:15])[C:8]([H:16])([H:17])[O:9][C:10]([H:18])([H:19])[C:11]2([H:20])[H:21]>>[C:1]([N:2]([C:3]([H:25])([H:26])[H:27])[C:4]([C:5]1([O-:6])[C:7]([H:14])([H:15])[C:8]([H:16])([H:17])[O:9][C:10]([H:18])([H:19])[C:11]1([H:20])[H:21])([H:12])[H:13])([H:22])([H:23])[H:24]
1,80,57,[C:1]([N-:2][C:3]([H:25])([H:26])[H:27])([H:22])([H:23])[H:24].[C:4]1([H:12])([H:13])[C:5]2([O:6]1)[C:7]([H:14])([H:15])[C:8]([H:16])([H:17])[O:9][C:10]([H:18])([H:19])[C:11]2([H:20])[H:21]>>[C:1]([N:2]([C:3]([H:25])([H:26])[H:27])[C:8]([C:7]([C:5]1([C:11]([C:10]([O-:9])([H:18])[H:19])([H:20])[H:21])[C:4]([H:12])([H:13])[O:6]1)([H:14])[H:15])([H:16])[H:17])([H:22])([H:23])[H:24]
2,81,57,[C:1]([N-:2][C:3]([H:25])([H:26])[H:27])([H:22])([H:23])[H:24].[C:4]1([H:12])([H:13])[C:5]2([O:6]1)[C:7]([H:14])([H:15])[C:8]([H:16])([H:17])[O:9][C:10]([H:18])([H:19])[C:11]2([H:20])[H:21]>>[C:1]([N:2]([C:3]([H:25])([H:26])[H:27])[C:8]([C:7]([C:5]1([C:11]([C:10]([O-:9])([H:18])[H:19])([H:20])[H:21])[C:4]([H:12])([H:13])[O:6]1)([H:14])[H:15])([H:16])[H:17])([H:22])([H:23])[H:24]
0,82,58,[C:1](=[C:2]([C@:3]1([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[C@:7]1([O-:8])[H:22])[H:14])([H:12])[H:13].[C:9]([C:10]([H:25])([H:26])[H:27])([Br:11])([H:23])[H:24]>>[Br-:11].[C:1](=[C:2]([C@:3]1([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[C@:7]1([O:8][C:9]([C:10]([H:25])([H:26])[H:27])([H:23])[H:24])[H:22])[H:14])([H:12])[H:13]
0,83,59,[Br+:1]1[C@:2]2([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[C@:9]12[H:22]>>[Br:1][C@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N+:5]2([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[C@:9]12[H:22]
0,84,60,[C+:5]1([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[C:9]([H:22])([H:23])[C:10]1([H:24])[H:25].[C:1]([C:2](=[O:3])[O:4][H:14])([H:11])([H:12])[H:13]>>[C:1]([C:2](=[O:3])[O+:4]([C:5]1([H:15])[C:6]([H:16])([H:17])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[C:9]([H:22])([H:23])[C:10]1([H:24])[H:25])[H:14])([H:11])([H:12])[H:13]
0,85,61,[C:1]([C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:1](=[C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])[H:15])([H:13])[H:14].[C:8]([N:9]([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:22])([H:23])[H:24].[O:12]([H:16])[H:31]
1,86,61,[C:1]([C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:1]([C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])([H:15])[H:16])([O:12][H:31])([H:13])[H:14].[C:8]([N:9]([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:22])([H:23])[H:24]
2,87,61,[C:1]([C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])([H:15])[H:16])([N+:9]([C:8]([H:22])([H:23])[H:24])([C:10]([H:25])([H:26])[H:27])[C:11]([H:28])([H:29])[H:30])([H:13])[H:14].[O-:12][H:31]>>[C:11]([O:12][H:31])([H:28])([H:29])[H:30].[C:1]([C:2]([C:3]1=[C:4]([H:17])[C:5]([H:18])=[C:6]([H:19])[C:7]1([H:20])[H:21])([H:15])[H:16])([N:9]([C:8]([H:22])([H:23])[H:24])[C:10]([H:25])([H:26])[H:27])([H:13])[H:14]
0,88,62,[C:1]([C:2]1([H:21])[C:3]([H:22])([H:23])[C:4]([H:24])=[C:6]([H:25])[C:7]1([H:26])[H:27])([H:18])([H:19])[H:20].[O:5]([O:10][C:9](=[O:8])[c:11]1[c:12]([H:29])[c:13]([H:30])[c:14]([H:31])[c:15]([Cl:16])[c:17]1[H:32])[H:28]>>[C:1]([C:2]1([H:21])[C:3]([H:22])([H:23])[C@:4]2([H:24])[O:5][C@:6]2([H:25])[C:7]1([H:26])[H:27])([H:18])([H:19])[H:20].[O:8]=[C:9]([O:10][H:28])[c:11]1[c:12]([H:29])[c:13]([H:30])[c:14]([H:31])[c:15]([Cl:16])[c:17]1[H:32]
0,89,63,[C:1](=[C:2]([C@:3]1([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C@:7]1([O-:8])[H:20])[H:12])([H:10])[H:11].[O+:9]([H:21])([H:22])[H:23]>>[C:1](=[C:2]([C@:3]1([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C@:7]1([O:8][H:21])[H:20])[H:12])([H:10])[H:11].[O:9]([H:22])[H:23]
0,90,64,[C:1]1([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]2([C:5]([H:18])([H:19])[C:6]1([H:20])[H:21])[O:7][C:8]([H:22])([H:23])[C:9]([H:24])([H:25])[O:10]2.[O+:11]([H:26])([H:27])[H:28]>>[C:1]1([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]2([C:5]([H:18])([H:19])[C:6]1([H:20])[H:21])[O:7][C:8]([H:22])([H:23])[C:9]([H:24])([H:25])[O+:10]2[H:26].[O:11]([H:27])[H:28]
0,91,65,[O:1]([C:2]([C:3]([O+:4]=[C:5]1[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[C:9]([H:23])([H:24])[C:10]([H:25])([H:26])[C:11]1([H:27])[H:28])([H:17])[H:18])([H:15])[H:16])[H:14].[O:6]([H:12])[H:13]>>[O:1]([C:2]([C:3]([O:4][C:5]1([O+:6]([H:12])[H:13])[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[C:9]([H:23])([H:24])[C:10]([H:25])([H:26])[C:11]1([H:27])[H:28])([H:17])[H:18])([H:15])[H:16])[H:14]
0,92,66,[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[Br:8])([H:9])([H:10])[H:11].[C:5]([C:6]([O-:7])([H:21])[H:22])([H:18])([H:19])[H:20]>>[Br-:8].[C:1](=[C:2]([C:3]([H:12])([H:13])[H:14])[C:4]([H:15])([H:16])[H:17])([H:9])[H:10].[C:5]([C:6]([O:7][H:11])([H:21])[H:22])([H:18])([H:19])[H:20]
0,93,67,[C:1]([O-:2])([H:22])([H:23])[H:24].[C:3]1(=[O:4])[c:5]2[c:6]([H:15])[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]2[C:11](=[O:12])[N:13]1[C:14]([H:19])([H:20])[H:21]>>[C:1]([O:2][C:3]1([O-:4])[c:5]2[c:6]([H:15])[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]2[C:11](=[O:12])[N:13]1[C:14]([H:19])([H:20])[H:21])([H:22])([H:23])[H:24]
0,94,68,[O:1]1[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[C:4]([H:17])([H:18])[O+:5]([H:19])[C:6]1([c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:20]>>[O:1]([C:2]([C:3]([C:4](/[O+:5]=[C:6](/[c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:20])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[H:19]
0,95,69,[C:1](=[C:2]([C:3]([C:4]([C:5]([Cl:10])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[C:8]([N-:6][C:7]([H:19])([H:20])[H:21])=[O:9])([H:11])[H:12]>>[C:1](=[C:2]1[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[N:6]([C:7]([H:19])([H:20])[H:21])[C:8]1=[O:9])([H:11])[H:12].[Cl-:10]
0,96,70,[B:1]([H:12])([H:13])[H:14].[C:2](=[C:3]([C@:4]1([H:18])[C:5]([H:19])([H:20])[C:6]([H:21])([H:22])[C:7]([H:23])([H:24])[C@:8]1([O:9][C:10]([C:11]([H:28])([H:29])[H:30])([H:26])[H:27])[H:25])[H:17])([H:15])[H:16]>>[B:1]([C:2]([C:3]([C@:4]1([H:18])[C:5]([H:19])([H:20])[C:6]([H:21])([H:22])[C:7]([H:23])([H:24])[C@:8]1([O:9][C:10]([C:11]([H:28])([H:29])[H:30])([H:26])[H:27])[H:25])([H:14])[H:17])([H:15])[H:16])([H:12])[H:13]
