,Unnamed: 0,idx,code,reaction
0,0,0,0,[C:1]([C:2]1=[N:3][O:4][N:5]=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O:4]=[N+:5]=[N-:6]
1,0,1,1,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[N:4]#[N:5].[O:1]=[C:2]=[N:3][H:6]
2,0,2,2,[O:1]([C+:2]1[N-:3][C:4]([H:8])=[N:5][N:6]1[H:9])[H:7]>>[O:1]=[C:2]1[N:3]([H:7])[C:4]([H:8])=[N:5][N:6]1[H:9]
3,0,3,3,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[C@@:4]2([H:11])[C@:3]1([H:10])[N:5]2[H:12]
4,1,4,3,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[N:5]([H:12])[C:4]([H:11])=[C:3]1[H:10]
5,0,5,4,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[O:5][C@@:6]12[H:10]>>[O:1]=[C:2]=[C:6]([O:5][C:4](=[C:3]([H:7])[H:8])[H:9])[H:10]
6,0,6,5,[C:1]1([H:7])=[N:2][N:3]=[C:4]([H:8])[N:5]=[N:6]1>>[C:1](#[N:6])[H:7].[C:4](#[N:5])[H:8].[N:2]#[N:3]
7,0,7,6,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7]>>[C:3]([O:4][H:11])(=[C:5]=[C:6]([H:7])[H:12])[H:10].[O:1]=[C:2]([H:8])[H:9]
8,0,8,7,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([C:4](=[O:5])[H:12])([H:10])[H:11])=[C:6]([H:13])[H:14])([H:7])([H:8])[H:9]
9,0,9,8,[O:1]=[C:2]([N:3]1[C:4]([H:7])([H:8])[C:5]1([H:9])[H:10])[H:6]>>[O:1]1[C:2]([H:6])=[N:3][C:4]([H:7])([H:8])[C:5]1([H:9])[H:10]
10,0,10,9,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[C:6][H:12])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([O:3][C:4](=[C:5]=[C:6]([H:7])[H:12])[H:11])[H:10])([H:8])[H:9]
11,0,11,10,[N:1](=[C:2](/[O:3][C:4]([C:5]#[N:6])([H:9])[H:10])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:4]([C:5]#[N:6])([H:9])[H:10])[H:7]
12,0,12,11,[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5](=[O:6])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[O:4])[C:5]([O:6][H:13])([H:12])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]
13,0,13,12,[C:1]([N:2]1[C:3]([H:10])=[N:4][N:5]=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:2]=[C:3]=[N:4][H:10])([H:7])([H:8])[H:9].[N:5]#[N:6]
14,0,14,13,[O:1]=[C:2]1[C:3]([H:7])([H:8])[N:4]2[C:5]([H:9])([H:10])[C@@:6]12[H:11]>>[O:1]=[C:2]=[C:6]([C:5]([N:4]=[C:3]([H:7])[H:8])([H:9])[H:10])[H:11]
15,0,15,14,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[O:3][C:4]([H:10])([H:11])[O:5][C@:6]12[H:12]>>[C:1](=[C:2]([C:6](=[O:5])[H:12])[H:9])([H:7])[H:8].[O:3]=[C:4]([H:10])[H:11]
16,0,16,15,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]3([H:10])[O:4][C@@:5]2([H:11])[C@:6]13[H:12]>>[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:6]1([C:5](=[O:4])[H:11])[H:12]
17,0,17,16,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]2([H:11])[C:5]([H:12])([H:13])[C@@:6]12[H:14])[H:7]>>[O:1](/[C:2](=[C:6](/[C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:12])[H:13])[H:14])[H:8])[H:7]
18,0,18,17,[C:1]([C:2]12[C:3]([H:10])([H:11])[C:4]([H:12])([C:5]1([H:13])[H:14])[O:6]2)([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:10])[H:11])[C:5]([C:4](=[O:6])[H:12])([H:13])[H:14])([H:7])([H:8])[H:9]
19,1,19,17,[C:1]([C:2]12[C:3]([H:10])([H:11])[C:4]([H:12])([C:5]1([H:13])[H:14])[O:6]2)([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])=[O:6])([H:7])([H:8])[H:9]
20,0,20,18,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]2([H:11])[O:5][C@@:6]12[H:12])[H:7]>>[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:6](=[O:5])[H:12])[H:11])[H:7]
21,1,21,18,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]2([H:11])[O:5][C@@:6]12[H:12])[H:7]>>[O:1]=[C:2]([C@@:6]([C:4](=[C:3]([H:9])[H:10])[H:11])([O:5][H:7])[H:12])[H:8]
22,0,22,19,[O:1]([C:2]([C:3]([O:4]/[C:5](=[N:6]/[H:13])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([H:9])([H:10])[H:11])[H:8].[O:4]=[C:5]([N:6]([H:7])[H:13])[H:12]
23,0,23,20,[C:1]1([H:7])=[N:2][N:3]=[N:4][C:5]([H:8])=[N:6]1>>[C:1](#[N:2])[H:7].[C:5](#[N:6])[H:8].[N:3]#[N:4]
24,0,24,21,[C:1](/[C:2](=[N:3]/[H:10])[O:4][C:5](=[O:6])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O:4]=[C:5]([O:6][H:10])[H:11]
25,1,25,21,[C:1](/[C:2](=[N:3]/[H:10])[O:4][C:5](=[O:6])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]([C:5](=[O:6])[H:11])[H:10])=[O:4])([H:7])([H:8])[H:9]
26,0,26,22,[O:1]=[C:2]([C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:8])[H:9])[H:7]>>[O:1]=[C:2]([O:6][C:5]([C:4](=[C:3]([H:8])[H:9])[H:10])([H:11])[H:12])[H:7]
27,0,27,23,[O:1]([C:2]([C@@:3]1([H:9])[C:4]([H:10])([H:11])[N:5]1[H:12])([H:7])[H:8])[H:6]>>[O:1]=[C:2]([C:3]([C:4]([N:5]([H:6])[H:12])([H:10])[H:11])([H:7])[H:9])[H:8]
28,0,28,24,[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C:2]1=[N:4][C:6]([H:12])([H:13])[C:5]([H:10])([H:11])[O:3]1)([H:7])([H:8])[H:9]
29,0,29,25,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[O:4][C:5]1=[O:6])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[O:4]=[C:5]=[O:6]
30,0,30,26,[C:1]([C:2](=[O:3])[O:4]/[C:5](=[N:6]/[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[N:6]([C:5](=[O:4])[H:10])[H:11])([H:7])([H:8])[H:9]
31,0,31,27,[N:1](=[C:2](/[O:3][C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:7]
32,0,32,28,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C@:5]1([H:14])[O:6]2)([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:3](\[C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])[H:11])[H:10])([H:7])([H:8])[H:9]
33,1,33,28,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C@:5]1([H:14])[O:6]2)([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([C:3](=[C:4]([H:12])[H:13])[H:11])([C:5](=[O:6])[H:14])[H:10])([H:7])([H:8])[H:9]
34,0,34,29,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[N:4]([H:11])[C:5]1=[O:6])[H:7]>>[N:4](=[C:5]=[O:6])[H:11].[O:1]([C:2](=[C:3]([H:9])[H:10])[H:8])[H:7]
35,0,35,30,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]2)([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])=[O:6])([H:7])([H:8])[H:9]
36,0,36,31,[O:1]([C@:2]1([H:8])[C@:3]2([H:9])[C:4]([H:10])([H:11])[C@@:5]1([H:12])[O:6]2)[H:7]>>[O:1]([C@@:2]([C:3](=[C:4]([H:10])[H:11])[H:9])([C:5](=[O:6])[H:12])[H:8])[H:7]
37,1,37,31,[O:1]([C@:2]1([H:8])[C@:3]2([H:9])[C:4]([H:10])([H:11])[C@@:5]1([H:12])[O:6]2)[H:7]>>[O:1](/[C:2](=[C:5](/[C:4]([C:3](=[O:6])[H:9])([H:10])[H:11])[H:12])[H:8])[H:7]
38,0,38,32,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4]/[C:5]1=[N:6]\[H:11])[H:7]>>[O:1]([C:2](=[C:3]([H:9])[H:10])[H:8])[H:7].[O:4]=[C:5]=[N:6][H:11]
39,0,39,33,[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]3([H:9])[N:4]([H:10])[C@@:5]2([H:11])[C@:6]13[H:12]>>[N:1](=[C:6](/[C@:3]1([H:9])[C:2]([H:8])=[C:5]([H:11])[N:4]1[H:10])[H:12])\[H:7]
40,0,40,34,[N:1]([C:2](=[O:3])[O:4]/[C:5](=[N:6]/[H:10])[H:9])([H:7])[H:8]>>[N:1]([C:2](=[O:3])[N:6]([C:5](=[O:4])[H:9])[H:10])([H:7])[H:8]
41,1,41,34,[N:1]([C:2](=[O:3])[O:4]/[C:5](=[N:6]/[H:10])[H:9])([H:7])[H:8]>>[N:1](=[C:2]=[O:3])[H:8].[O:4]=[C:5]([N:6]([H:7])[H:10])[H:9]
42,0,42,35,[O:1]([C:2]([C:3]([O:4][C:5](=[O:6])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7]>>[O:1]=[C:2]([C:3]([H:9])([H:10])[H:11])[H:8].[O:4]=[C:5]([O:6][H:7])[H:12]
43,0,43,36,[N:1](=[C:2](/[O:3][C:4](=[O:5])[H:8])[H:7])\[H:6]>>[C-:4]#[O+:5].[N:1]([C:2](=[O:3])[H:7])([H:6])[H:8]
44,1,44,36,[N:1](=[C:2](/[O:3][C:4](=[O:5])[H:8])[H:7])\[H:6]>>[N:1]([C:2](=[O:3])[H:7])([C:4](=[O:5])[H:8])[H:6]
45,0,45,37,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7]>>[O:1]=[C:2]([C:3]([O:4][H:7])([H:8])[H:9])[C:5]#[C:6][H:10]
46,1,46,37,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[C:6][H:10])[H:8])[H:7]>>[C-:3]#[O+:4].[O:1]([C:2](=[C:5]=[C:6]([H:9])[H:10])[H:8])[H:7]
47,0,47,38,[C:1]([C:2]#[C:3][C:4]([C:5](=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C-:5]#[O+:6].[C:1]([C:2](=[C:3]=[C:4]([H:10])[H:11])[H:12])([H:7])([H:8])[H:9]
48,0,48,39,[C:1]([O:2][C@@:3]([C:4]([H:11])([H:12])[H:13])([C:5]#[C:6][H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[O:2])([H:7])[H:8].[C:3]([C:4]([H:11])([H:12])[H:13])(=[C:5]=[C:6]([H:9])[H:14])[H:10]
49,0,49,40,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@@:4]2([H:13])[O:5][C@@:6]12[H:14])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@@:4]1([C:6](=[O:5])[H:14])[H:13])([H:7])([H:8])[H:9]
50,0,50,41,[O:1]=[C:2]([C:3]1([H:8])[C:4]([H:9])([H:10])[O:5][C:6]1([H:11])[H:12])[H:7]>>[C:4](=[O:5])([H:9])[H:10].[O:1]=[C:2]([C:3](=[C:6]([H:11])[H:12])[H:8])[H:7]
51,0,51,42,[N:1]([C+:2]1[N-:3][C:4]([H:9])=[N:5][O:6]1)([H:7])[H:8]>>[N:1]([C:2]([N:3]=[C:4]=[N:5][H:9])=[O:6])([H:7])[H:8]
52,0,52,43,[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C@@:4]2([H:11])[N:5]([H:12])[C@@:6]12[H:13]>>[C:1](=[C:2](/[C:3](=[C:4]([C:6](=[N:5]/[H:12])\[H:13])/[H:11])[H:10])[H:9])([H:7])[H:8]
53,0,53,44,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[O:4][C:5]1=[O:6])[H:7]>>[O:1]([C:2](=[C:3]([H:9])[H:10])[H:8])[H:7].[O:4]=[C:5]=[O:6]
54,0,54,45,[C:1]([C:2]([O:3][C:4]([C:5]#[C:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[C:6]([H:11])[H:14])([H:12])[H:13]
55,0,55,46,[C:1](/[N:2]=[C:3](\[O:4][C:5](=[O:6])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]([C:3](=[O:4])[H:10])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9]
56,0,56,47,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[O:4][C@@:5]12[H:11]>>[C:1]([C:2](=[C:3]([H:9])[H:10])[H:8])([C:5](=[O:4])[H:11])([H:6])[H:7]
57,0,57,48,[O:1]=[C:2]1[O:3][C:4]([H:7])=[N:5][O:6]1>>[O:1]=[C:2]=[O:6].[O:3]=[C:4]=[N:5][H:7]
58,1,58,48,[O:1]=[C:2]1[O:3][C:4]([H:7])=[N:5][O:6]1>>[O:1]=[C:2]=[O:6].[O:3]([C:4]#[N:5])[H:7]
59,0,59,49,[O:1]([C:2]1=[N:3][O:4][N:5]=[N:6]1)[H:7]>>[N:5]#[N:6].[O:1]([C:2]#[N+:3][O-:4])[H:7]
60,1,60,49,[O:1]([C:2]1=[N:3][O:4][N:5]=[N:6]1)[H:7]>>[O:1]([C:2]#[N:3])[H:7].[O:4]=[N+:5]=[N-:6]
61,0,61,50,[C:1](/[C:2](=[N:3]\[H:10])[N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9]>>[C:1](/[C:2]([N:3]([H:10])[H:11])=[N:4]/[C:5](=[O:6])[H:12])([H:7])([H:8])[H:9]
62,0,62,51,[C:1]([N:2]1[N:3]=[N:4][N:5]=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:2]=[N+:6]=[N-:5])([H:7])([H:8])[H:9].[N:3]#[N:4]
63,0,63,52,[C:1](/[N:2]=[C:3](\[N:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9]>>[C:1]([N:2](/[C:3](=[N:4]/[H:11])[C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]
64,0,64,53,[O:1]=[C:2]1[O:3][N:4]=[N:5][O:6]1>>[N-:4]=[N+:5]=[O:6].[O:1]=[C:2]=[O:3]
65,0,65,54,[C:1]([C@@:2]([O:3][H:11])([C@@:4]1([H:12])[C:5]([H:13])([H:14])[N:6]1[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[C:4]([C:5]([N:6]([H:11])[H:15])([H:13])[H:14])([H:10])[H:12])([H:7])([H:8])[H:9]
68,0,66,55,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])=[C:6]2[H:14]>>[C:1]1([H:7])([H:8])[C@:4]2([H:12])[C:3]([H:10])([H:11])[C:2]([H:9])=[C:6]([H:14])[C@:5]12[H:13]
69,0,67,56,[O:1]1[C@@:2]2([H:7])[C@:3]1([H:8])[C@@:4]1([H:9])[O:5][C@@:6]21[H:10]>>[O:1]1[C:2]([H:7])=[C:6]([H:10])[C@@:4]2([H:9])[C@:3]1([H:8])[O:5]2
70,1,68,56,[O:1]1[C@@:2]2([H:7])[C@:3]1([H:8])[C@@:4]1([H:9])[O:5][C@@:6]21[H:10]>>[O:1]=[C:2](/[C:3](=[C:4](\[C:6](=[O:5])[H:10])[H:9])[H:8])[H:7]
71,0,69,57,[N:1]([C:2]1=[C:3]([H:9])[O:4][N:5]=[N:6]1)([H:7])[H:8]>>[N:1]([C+:2]=[C:3]([O-:4])[H:9])([H:7])[H:8].[N:5]#[N:6]
72,0,70,58,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]([O:6][H:14])([H:12])[H:13])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C@@:4]([O:3][H:14])([C:5]([O:6][H:7])([H:12])[H:13])[H:11])[H:10])([H:8])[H:9]
73,1,71,58,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]([O:6][H:14])([H:12])[H:13])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([O:3][H:14])([C:4]([C:5](=[O:6])[H:12])([H:11])[H:13])[H:10])([H:7])([H:8])[H:9]
74,0,72,59,[C:1]([C@@:2]([O:3][H:10])([C:4](=[O:5])[H:11])[H:9])([H:6])([H:7])[H:8]>>[C:1]([C:2](=[O:3])[C:4]([O:5][H:10])([H:9])[H:11])([H:6])([H:7])[H:8]
75,0,73,60,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@:4]1([C:5]#[N:6])[H:11])[H:7]>>[O:1]=[C:2]([C:3]([C:4](=[C:5]=[N:6][H:7])[H:11])([H:9])[H:10])[H:8]
76,0,74,61,[O:1]=[C:2]1[N:3]([H:7])[N:4]=[N:5][O:6]1>>[N-:4]=[N+:5]=[O:6].[O:1]=[C:2]=[N:3][H:7]
77,1,75,61,[O:1]=[C:2]1[N:3]([H:7])[N:4]=[N:5][O:6]1>>[N:3](=[N+:4]=[N-:5])[H:7].[O:1]=[C:2]=[O:6]
78,0,76,62,[C:1]([C@@:2]1([H:10])[N:3]([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([N:3]([H:11])[H:15])([C:4]([C:5](=[O:6])[H:13])([H:12])[H:14])[H:10])([H:7])([H:8])[H:9]
79,0,77,63,[O:1]([C:2]([C:3](=[O:4])[H:9])([C:5](=[O:6])[H:10])[H:8])[H:7]>>[O:1](/[C:2](=[C:5](\[O:6][H:7])[H:10])[H:8])[C:3](=[O:4])[H:9]
81,0,78,64,[O:1]([C:2]([C@@:3]1([H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:8])[H:9])[H:7]>>[H:8][H:14].[O:1](/[C:2](=[C:3](/[C:4]([C:5](=[O:6])[H:13])([H:11])[H:12])[H:10])[H:9])[H:7]
82,1,79,64,[O:1]([C:2]([C@@:3]1([H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:8])[H:9])[H:7]>>[C:2](=[C:3]([C:4]([C:5](=[O:6])[H:13])([H:11])[H:12])[H:10])([H:8])[H:9].[O:1]([H:7])[H:14]
83,0,80,65,[C:1]([C:2]1=[C:3]([H:10])[O:4][N:5]=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[O:4])[H:10])([H:7])([H:8])[H:9].[N:5]#[N:6]
84,0,81,66,[C:1]([C@@:2]1([H:10])[N:3]([H:11])[C@:4]1([C:5]#[C:6][H:13])[H:12])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([N:3]([C:4](=[C:5]=[C:6]([H:9])[H:13])[H:12])[H:11])[H:10])([H:7])[H:8]
85,0,82,67,[N:1](=[C:2](/[O:3][C:4]([C:5]#[C:6][H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:5]1=[C:6]([H:11])[C:4]1([H:9])[H:10])[H:7]
86,1,83,67,[N:1](=[C:2](/[O:3][C:4]([C:5]#[C:6][H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:4]([C:5]#[C:6][H:11])([H:9])[H:10])[H:7]
87,2,84,67,[N:1](=[C:2](/[O:3][C:4]([C:5]#[C:6][H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:6](=[C:5]=[C:4]([H:9])[H:10])[H:11])[H:7]
88,0,85,68,[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[N:1]#[C:2][H:8].[O:3]=[C:4]([C:6]([C:5]([H:7])([H:10])[H:11])([H:12])[H:13])[H:9]
89,1,86,68,[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:5]([C:4](=[C:6]([H:12])[H:13])[H:9])([H:10])[H:11])[H:7]
90,0,87,69,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[C@:4]1([H:11])[O:5]2>>[C:1](=[C:2]([C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])[H:8])([H:6])[H:7]
91,0,88,70,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4](=[O:5])[C:6]1([H:11])[H:12])[H:7]>>[O:1]=[C:2]([C:3]([C:4]([O:5][H:7])=[C:6]([H:11])[H:12])([H:9])[H:10])[H:8]
92,0,89,71,[C:1]1([H:7])=[N:2][N:3]=[N:4][N:5]=[C:6]1[H:8]>>[C:1](#[N:2])[H:7].[N:3]#[N:4].[N:5]#[C:6][H:8]
